postgres=# WITH RECURSIVE r AS (
postgres(# SELECT 1.0 AS i, 1.0 AS factorial
postgres(# UNION
postgres(# SELECT i+1 AS i, factorial * (i+1) AS factorial
postgres(# FROM r WHERE i < 19
postgres(# )
postgres-# SELECT * FROM r;
  i   |               factorial
------+----------------------------------------
  1.0 |                                    1.0
  2.0 |                                   2.00
  3.0 |                                  6.000
  4.0 |                                24.0000
  5.0 |                              120.00000
  6.0 |                             720.000000
  7.0 |                           5040.0000000
  8.0 |                         40320.00000000
  9.0 |                       362880.000000000
 10.0 |                     3628800.0000000000
 11.0 |                   39916800.00000000000
 12.0 |                 479001600.000000000000
 13.0 |               6227020800.0000000000000
 14.0 |             87178291200.00000000000000
 15.0 |          1307674368000.000000000000000
 16.0 |        20922789888000.0000000000000000
 17.0 |      355687428096000.00000000000000000
 18.0 |    6402373705728000.000000000000000000
 19.0 | 121645100408832000.0000000000000000000
(19 строк)
